iid,spend_online,spend_retail,age,white,college,male,hh_inc
7504,14.975,0,32,.988526,.1344743,0,59.125
1869,241,0,42,.9986755,.3210291,0,105.703
8205,0,24,51,.8003207,.5168777,0,121.458
10147,0,14,40,.6908998,.1174699,1,49.493
8818,0,78,27,.9061372,.6710098,0,115.139
7714,9.975,125.1,49,.9826428,.5657226,0,99.115
7306,19,14,39,.5076401,.517037,1,56.413
8724,0,9.975,47,.8415841,.2003594,0,58.39
7097,54,0,41,.9466019,.7576219,0,164.911
7416,0,34.975,28,.910459,.7636544,0,97.93
3979,0,14,44,.957958,.6547085,0,107.206
341,204.825,0,26,.6313869,.2479523,0,39.542
2089,0,9.975,40,.7428256,.54844,0,129.034
7878,0,145.975,20,.959799,.1682893,1,38.818
406,83.95,58.975,56,.9622111,.4154867,0,121.071
9289,79.925,0,37,.2225352,.3593034,0,42.625
4915,29,0,35,.070561,.2480916,1,51.825
4188,0,9.95,40,.7475247,.5258799,0,87.969
3839,84.875,0,22,.8216318,.6792189,0,146.375
10390,73,33.705,45,.4701987,.6601374,0,152.075
5140,0,23.95,51,.9180464,.8290598,0,105.284
7885,0,113,31,.7241727,.7509727,0,86.106
3973,0,24,48,.9177456,.6265923,0,148.75
2163,24.975,0,39,.8681055,.5516667,0,105.833
9318,0,44.975,71,.982256,.1484794,0,57.596
2132,111.875,28.975,24,.9638298,.5454546,0,75.625
10409,39.925,0,19,.9211357,.7619554,0,144.688
9679,24.975,0,41,.6331789,.0878073,0,47.708
1214,0,69.845,36,.9005939,.5004638,0,85.862
5835,0,73.95,63,.8565454,.696282,0,74.333
9633,59.95,0,42,.7926391,.2762692,0,82.039
5165,0,166.925,39,.964991,.8769716,1,199.375
227,141,18,37,.8699473,.6421875,0,69.469
3381,14.975,700.515,26,.8270572,.7533333,1,138.304
3179,0,102.975,21,.879661,.9009547,0,129.461
4249,88.975,117.975,44,.7523148,.8116761,0,177.045
9281,0,172.95,55,.3239905,.0630564,1,54.075
7133,0,122.95,68,.7943787,.7649635,0,113.275
7400,0,82,34,.9377713,.3130081,0,86.518
2835,128,309,52,.7553979,.8292465,0,211.875
9111,0,88.975,40,.9122542,.6456522,0,96.667
1393,9,0,21,.954717,.6785714,0,66.726
9745,34,0,40,.2955123,.1193548,0,26.615
6982,0,49,51,.8661146,.7671388,0,145.893
7558,0,39,46,.8619551,.8448459,0,171.719
2333,34,0,25,.8188406,.5111111,0,59.773
2472,0,69,61,.812749,.6405485,0,80.147
1569,49,317.95,60,1,.5377095,0,93.807
4325,73,0,50,.9497537,.3919708,0,63.409
7627,44.975,0,42,.9859155,.5541237,1,104.688
9570,34.975,0,40,.6640625,.2124682,0,37
4903,0,47.975,48,.4868421,.8617615,0,102.396
5837,39.5,0,30,0,.1323185,0,32.314
10012,94.85,0,31,.917577,.4404332,0,67.045
6221,24.975,0,34,.9751196,.8039492,0,79.792
4645,49.95,0,25,.5156951,.120462,0,39.503
1946,28.9,0,34,.7894302,.4809783,0,22.045
3385,0,97,52,.8283244,.4268218,0,52.482
5084,54.03,0,50,.72,.8514151,0,131.875
7761,108,0,30,1,.5649351,0,189.034
6739,0,1051.93,46,.7357311,.8238806,0,134.306
2379,22.45,0,19,.7608015,.5851795,0,85.278
4179,0,14.975,43,.8387516,.4360656,0,67.903
10328,19,192,36,.7086856,.4279476,0,13.051
4514,21,0,45,1,.5104167,0,50.081
6770,0,58.975,27,.9108194,.9220616,0,116.01
9875,0,41,22,.7770864,.4521173,0,44.565
